Property ID,Usage,Admininstrated by,Name,Ward Number,Address,Unique ID
1000480100215,EDUCATIONAL,PRIVATE,GOMATHI AMMAL NURSURY & PRIMARY SCHOOL,48,S P KUMARASAMY STREET,1000481600007
1000480100273,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,48,S P KUMARASAMY STREET,1000481600006
1000480101472,TEMPLE,TEMPLE,MURUGAN TEMPLE,48,AMARAR JEEVA ROAD(SANGANOOR ROAD),1000481600005
1000480100904,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,48,CHELLAPPA GOUNDER LAYOUT,1000481600004
1000480100897,TEMPLE,TEMPLE,VILAIYATU MARIYAMMAN TEMPLE,48,CHELLAPPA GOUNDER LAYOUT,1000481600003
1000480100479,HOSPITAL,PRIVATE,RAMAKRISHNA NATURE CURE HOME TRUST,48,KRISHNA LAYOUT,1000481600002
1000480100482,INDUSTRIAL,PRIVATE,ROOTS INDUSTRIES,48,SANGANOOR ROAD,1000481600001
1000500100883,RESIDENTIAL,CORPORATION,CORPORATION QUARTERS,50,TATABAD STREET 4,1000501600001
1000500100964,OFFICE,CORPORATION,WARD OFFICE,50,TATABAD STREET 4,1000501600002
1000500100965,EDUCATIONAL,CORPORATION,CORPORATION SCHOOL,50,DR.ALAGAPPA ROAD,1000501600003
1000500100961,TEMPLE,TEMPLE,SAIBABA TRUST & TRUST CANTEEN,50,DR.ALAGAPPA ROAD,1000501600004
1000500100965,OFFICE,CORPORATION,CORPORATION COLLECTION CENTER,50,DR.ALAGAPPA ROAD,1000501600005
1000500100965,OFFICE,CORPORATION,BIRTH & DEATH OFFICE,50,DR.ALAGAPPA ROAD,1000501600006
1000500100954,COMMERCIAL,CORPORATION,CORPORATION BUILDING,50,RAJU NAIDU ROAD,1000501600007
1000500100955,OTHERS,PRIVATE,CBE DIST DRAVIDA THALILARM SANGAM,50,TATABAD STREET 3,1000501600008
1000500100943,EDUCATIONAL,PRIVATE,S M S POORVAJA INSTITUTE,50,TATABAD STREET 3,1000501600009
